"経済活動(産業)","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"","","","","","","","","","","","","",""
"１.産業","3119110.0","3073481.0","3069079.0","3078702.0","3164111.0","3192291.0","3109738.0","2994380.0","2848738.0","3031141.0","3060888.0","3069993.0","3091421.0"
"","","","","","","","","","","","","",""
"１.産業_(1)農林水産業","90338.0","92430.0","85714.0","90035.0","77906.0","84006.0","76567.0","78389.0","61550.0","76007.0","75083.0","72542.0","68801.0"
"１.産業_(1)農林水産業_①農業","68450.0","74099.0","70737.0","76381.0","64753.0","71836.0","64657.0","68847.0","53462.0","67205.0","65993.0","63540.0","60550.0"
"１.産業_(1)農林水産業_②林業","7149.0","5730.0","5562.0","4288.0","4068.0","3757.0","2908.0","2524.0","2256.0","2244.0","2270.0","1889.0","1961.0"
"１.産業_(1)農林水産業_③水産業","14739.0","12601.0","9415.0","9366.0","9085.0","8413.0","9002.0","7018.0","5832.0","6558.0","6820.0","7113.0","6290.0"
"","","","","","","","","","","","","",""
"１.産業_(2)鉱業","16165.0","16006.0","17151.0","12840.0","11844.0","2703.0","1983.0","1713.0","1257.0","1384.0","1235.0","1426.0","2222.0"
"","","","","","","","","","","","","",""
"１.産業_(3)製造業","981110.0","937690.0","970957.0","954453.0","1108607.0","1110030.0","1026253.0","977865.0","811667.0","948601.0","993104.0","944697.0","891216.0"
"１.産業_(3)製造業_①食料品","147596.0","131985.0","67713.0","66498.0","60119.0","61605.0","55184.0","59698.0","50251.0","60619.0","70741.0","64506.0","63012.0"
"１.産業_(3)製造業_②繊維","32931.0","29592.0","26091.0","28075.0","25525.0","26153.0","19007.0","18795.0","19815.0","16358.0","19544.0","20387.0","19084.0"
"１.産業_(3)製造業_③パルプ・紙","7618.0","6061.0","6107.0","6441.0","6607.0","6075.0","6374.0","5339.0","4643.0","4964.0","4496.0","5949.0","6375.0"
