"経済活動(産業)","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"","","","","","","","","","","","","",""
"１.産業","―","-1.256289154928104","-0.12288572074624741","0.27001386967222063","2.3912387971488465","0.7675406043415344","-2.229880282334993","-3.1927875406059263","-4.162039542833497","5.479380864177875","0.8460500127133612","0.2560108421505473","0.6016871838776588"
"","","","","","","","","","","","","",""
"１.産業_(1)農林水産業","―","0.057598389447710736","-0.18748307599541061","0.12124388764976257","-0.33958172289358685","0.1661461208830149","-0.20093854154652177","0.05042787582121741","-0.4812113529186173","0.4342878634310814","-0.026279968122739965","-0.07144684787529278","-0.1050453497706889"
"１.産業_(1)農林水産業_①農業","―","0.15553217112338336","-0.09385320153314033","0.158366235106517","-0.32555497351856105","0.19292015970727777","-0.19391555178955233","0.11596750806306308","-0.4396601142973411","0.41283932400452045","-0.03447112701813943","-0.06897249816532593","-0.08395765726125629"
"１.産業_(1)農林水産業_②林業","―","-0.039068888444694805","-0.004689868488271141","-0.03574744569909686","-0.006159450823364589","-0.008470728458134038","-0.022932762706411747","-0.01062804847165065","-0.0076586877238665856","-3.604796542279157E-4","7.394796225013411E-4","-0.010712809539742837","0.002021722850438279"
"１.産業_(1)農林水産業_③水産業","―","-0.0588648932309778","-0.08894000597399915","-0.0013749017576575714","-0.007867298551661133","-0.018303310366128853","0.015909772949442305","-0.05491158377019502","-0.03389255089740959","0.0218090190807889","0.007451679272898129","0.008238459829775988","-0.02310941535987088"
"","","","","","","","","","","","","",""
"１.産業_(2)鉱業","―","-0.004377697859553541","0.03196368701827653","-0.12096329545432227","-0.027885513727596047","-0.2489740477035474","-0.019448279326992293","-0.007472846581629363","-0.013031200007772997","0.003815076340578774","-0.004237787067411531","0.005370463575041684","0.022351269290956523"
"","","","","","","","","","","","","",""
"１.産業_(3)製造業","―","-1.1954694406403443","0.9286777083292622","-0.4630893593547053","4.315927191931567","0.038758349183037735","-2.2629423571908798","-1.3392448162662283","-4.749472322131265","4.113493414337117","1.2657331400068146","-1.361089163754151","-1.5017188856151331"
"１.産業_(3)製造業_①食料品","―","-0.4298128382735241","-1.7942096873700166","-0.034091951745998966","-0.17859607637383051","0.04047428452986231","-0.1734408354980799","0.12493492396101831","-0.26996874226629713","0.3114544212529191","0.2878851053445605","-0.17531330047321939","-0.04195074914659428"
"１.産業_(3)製造業_②繊維","―","-0.09193165505062435","-0.09773350938950753","0.05566949157535963","-0.0713936345435441","0.017104879330251368","-0.19302417232039853","-0.005867568427057129","0.029148736859492225","-0.10384818038882537","0.09061469528035664","0.023703145517068796","-0.03658756769612607"
"１.産業_(3)製造業_③パルプ・紙","―","-0.042868399794496","0.0012841306575028125","0.009371779327706713","0.004647585621266008","-0.014490120706518676","0.008076438220514855","-0.02864591189624589","-0.019889726327653522","0.009642830750596744","-0.013310633205024139","0.040854887824793545","0.011961860198426483"
"１.産業_(3)製造業_④化学","―","0.2956735680109778","0.6150706690599884","-0.20152131476523835","0.2964655671300347","-1.567357135444769","-0.8397875059391534","-0.28969735248116496","0.05243914915408651","0.5804623632205013","0.4550359415538059","-0.1196685496093058","0.08241328563939372"
"１.産業_(3)製造業_⑤石油･石炭製品","―","-1.0556859687349773","1.2681906878194624","-1.7105180826237392","-0.28207485020635564","-0.5665037980730864","-0.8004047403019939","1.0530624693993853","-1.9980030257531947","4.031274013201966","0.023833997063697068","-0.750234079106085","-1.9033959047195717"
"１.産業_(3)製造業_⑥窯業･土石製品","―","-0.011949187868215326","-0.06995720495004452","-0.021100533097112118","0.008315258611542194","-0.02285190088866385","-8.913794691538135E-4","-0.044089794831613245","-0.025890936857548976","0.016431864238555822","0.43396077231251773","-0.05958121631158811","0.06921592814347718"
"１.産業_(3)製造業_⑦鉄鋼","―","0.24429756671584005","0.6845812198682928","1.0040711121636436","4.26511172263881","1.607640760491651","-1.5435451025856217","-1.3436731697960826","-2.274344482058381","-1.1919560166757888","0.6825965746166225","0.17050518910498833","-0.233340512321418"
"１.産業_(3)製造業_⑧非鉄金属","―","0.00178962491113824","8.374765157627039E-4","-0.008024936789593172","0.024805788315913756","0.07803420267702256","0.26468567934055204","-0.13896726920874455","-0.08907511057944832","-0.14581402013519187","0.04977266689912872","0.0922257619169462","-0.10305170640428447"
"１.産業_(3)製造業_⑨金属製品","―","-0.21833423915886527","-0.1286363928211513","-0.01582539982283409","-0.017554434846589077","0.06743898283710571","0.11922875687408886","-0.11768349505588166","0.2851432317490328","-0.28063341081643234","-0.09946000922643036","0.050892874716363605","0.10737594694549969"
"１.産業_(3)製造業_⑩一般機械","―","0.16018519589234276","0.3795722728275161","0.15219320680682993","0.3472250414153074","0.6381645266047604","0.9409185584395133","-0.6679340983498571","-0.21895845276218573","1.3106139028591444","-1.2784465012090491","-0.004639405706187843","0.37853952426053383"
"１.産業_(3)製造業_⑪電気機械","―","-0.10693697161324499","0.11043523654524189","0.13625557010581973","0.03317704193494108","-0.05537296127133923","0.07814426679581764","-0.09020002596122258","0.23467590891191195","-0.21845067046211689","0.12224166990426014","-0.19350539436354383","0.12947450088015144"
"１.産業_(3)製造業_⑫輸送機械","―","-0.007846816918067668","0.009882222885999905","0.06616363968482762","0.03776863254872195","0.012120495703760923","0.038626443663331914","0.0011624428015867899","-0.06827091407581072","-0.16636136042618307","0.22545596029108195","-0.08595553481100748","0.00839576572612563"
