"経済活動(産業)","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"","","","","","","","","","","","","",""
"１.産業","85.8774916396984","85.79893863809569","86.1159614589784","86.1959707672464","86.1811096218487","86.22856536256049","86.0688703076405","85.57097517384935","85.57600743549368","86.21026932416682","86.06485608001148","86.20381942757726","86.27275165342891"
"","","","","","","","","","","","","",""
"１.産業_(1)農林水産業","2.4872482341908664","2.5802651450648906","2.4050679439971647","2.520755249461958","2.1219310972970753","2.269127990476826","2.1191609045022797","2.2401375820379767","1.8489602264773506","2.161754910286901","2.1111545371981926","2.0369419307846335","1.9200398737368876"
"１.産業_(1)農林水産業_①農業","1.8846126948832698","2.0685390780500197","1.9848250128861964","2.1384773333609575","1.763681928776699","1.9403980468525255","1.7895253386237395","1.967454006436727","1.6059969395277356","1.9114126165462548","1.8555654592027533","1.7841704155117808","1.6897779734999279"
"１.産業_(1)農林水産業_②林業","0.1968312075342658","0.15995801451067643","0.1560653791039064","0.12005329604812434","0.11080039668067289","0.10148220198820838","0.0804853254051044","0.07212883513074352","0.06777017499484814","0.0638227797266542","0.0638269754730085","0.053042145339970946","0.05472592247784242"
"１.産業_(1)農林水産業_③水産業","0.4058043317733311","0.35176805250419435","0.26417755200706194","0.26222462005287606","0.24744877183970332","0.2272477416360919","0.24915024047343529","0.2005547404705063","0.175193111954767","0.1865195140139921","0.19176210252243084","0.1997293699328816","0.1755359777591172"
"","","","","","","","","","","","","",""
"１.産業_(2)鉱業","0.44506594905461005","0.4468216370432612","0.481243674399694","0.3594879480545514","0.32259584520302104","0.0730120819734169","0.05488390656063344","0.04895273160814724","0.03776024378037417","0.039363069136225226","0.034725248770557486","0.04004134423229146","0.06200968880457208"
"","","","","","","","","","","","","",""
"１.産業_(3)製造業","27.012598408720596","26.176445135517657","27.244295630814747","26.722301439603648","30.195205349796144","29.983574307418408","28.403819344210664","27.9446368324582","24.382453292350803","26.97965805324595","27.923711299624067","26.52660432834015","24.87129919786477"
"１.産業_(3)製造業_①食料品","4.063715052067072","3.6844779310980154","1.8999739329850436","1.8617780038731748","1.637465351043602","1.664043399915778","1.5273391324467953","1.7060012676842813","1.5095385920505826","1.7240967398618765","1.989067873099601","1.8112951970884943","1.75848537846701"
"１.産業_(3)製造業_②繊維","0.9066790453645135","0.826086835148331","0.7320930971233408","0.7860299175725493","0.695226186153927","0.7064317350539298","0.5260607221371455","0.5371083424256436","0.5952420290438457","0.46524644864911296","0.5495305764953649","0.5724564409984053","0.5325800635222564"
"１.産業_(3)製造業_③パルプ・紙","0.20974403958540175","0.16919817206792492","0.17135765375540385","0.1803319216058696","0.17995531486460317","0.1640948568214975","0.17641453374557614","0.1525736334243422","0.1394755862150177","0.14118372484987143","0.12641677609103358","0.1670448505174628","0.17790808556667284"
"１.産業_(3)製造業_④化学","4.546225460800882","4.90928733540097","5.552723133227139","5.339431936248564","5.482821989139492","3.8830380481274682","3.1182528152565636","2.9205319701631245","3.125148322357729","3.50843262743367","3.9183295890048897","3.7935102134911247","3.852135636566293"
"１.産業_(3)製造業_⑤石油･石炭製品","6.446311527992762","5.465650900705993","6.7684168791918715","5.046774029627518","4.635286113153135","4.0350857763658565","3.314401199419553","4.509481055321444","2.640032827680512","6.316322078643088","6.2679495795011375","5.510233708353562","3.5847014116274027"
"１.産業_(3)製造業_⑥窯業･土石製品","0.4125773737447158","0.40620402602877015","0.3379732994078663","0.31617580976480136","0.3156776296777283","0.2904006264506863","0.2966443320811241","0.26076688612045745","0.24689852317493657","0.24931839887872134","0.6754974708209498","0.6150810977618124","0.6800972620015399"
"１.産業_(3)製造業_⑦鉄鋼","3.1889463955027","3.481026969535396","4.186996740360466","5.1796501823897385","9.188234566727687","10.706466850002714","9.388746059111323","8.306675575130297","6.341107477609707","4.875161618959802","5.4944622366434315","5.657285966238914","5.3906568533962025"
"１.産業_(3)製造業_⑧非鉄金属","0.0468606399808813","0.049327366778423254","0.05042241752062564","0.0423042281550177","0.06528725438632568","0.14213450808143535","0.4168464532071105","0.28691501771500194","0.20796672051832166","0.05884551303674133","0.10738115389049316","0.1993362571564075","0.09569361967186214"
"１.産業_(3)製造業_⑨金属製品","1.382196150599414","1.1800602424773672","1.0568224449064239","1.0387073888492102","0.9934176175354428","1.0520708770930873","1.2001668382192374","1.11768259540353","1.474632145532846","1.130465252136954","1.0192633748442987","1.0687051623289012","1.1688630989607098"
"１.産業_(3)製造業_⑩一般機械","2.702829204255673","2.902861098936684","3.299287211645923","3.443888942861854","3.688144275843961","4.290479500027957","5.360328207421865","4.844977301135601","4.862810455592212","5.844932260822427","4.514479163444857","4.5037246031596725","4.852300009683781"
"１.産業_(3)製造業_⑪電気機械","0.26574553295855835","0.16101881809730917","0.27284785084616786","0.40820360456661686","0.42939239274110325","0.3709219051642475","0.4601336089614376","0.3819627616313462","0.6482024982441636","0.4068844415193917","0.5231000227752644","0.3291477118449653","0.45580749200948506"
"１.産業_(3)製造業_⑫輸送機械","0.11786744991665854","0.11155187189959215","0.12205760501653949","0.18780725510513482","0.2194490649105657","0.22965176505290066","0.2748900453657142","0.2850289229770348","0.22785318144322836","0.058219799510009426","0.28044504553646993","0.19422579106224408","0.20137799928613506"
