"経  済   活  動@(産  業)","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"１.産業_(5)電気･ｶﾞｽ･水道業","134.16404060198658","126.99563136777606","125.4491717519733","118.8252030560635","101.24344645818861","91.75646926867188","88.31233451994197","72.90229405355754","80.04520051848941","79.98769922372702","67.93092449905652","91.04712381103072","102.2263415087882"
"１.産業_(5)電気･ｶﾞｽ･水道業_①電　気業","153.82835908031652","139.92237165962175","136.70715509432074","126.97950168860518","101.28588347859102","87.0976278363479","81.41038889934441","55.92179110418677","64.08200791079257","63.21816612897584","45.84493035766542","95.84444144529591","119.45350247692366"
"１.産業_(5)電気･ｶﾞｽ･水道業_②ｶﾞｽ･水道･熱供給業","105.04674440513307","106.95128357985737","107.5762865235529","105.6128864854994","101.1746862406476","99.71017828469316","100.2201416412592","103.84339956108752","108.1818092692044","110.11734645084668","109.70811412062302","112.43650099529884","114.06871047187374"
"","","","","","","","","","","","","",""
"１.産業_(6)卸売･小売業","102.15096195251259","99.58296614332949","98.88465317355221","99.39397033863841","100.0","100.5648848483557","101.0714728379714","102.85925228440638","99.82366330433237","99.1988581247509","99.61261450702764","98.41921153677605","98.87172884048442"
"１.産業_(6)卸売･小売業_①卸売業","98.19124165508197","95.96183117633207","96.06915779531592","98.29976078805171","99.99999999999997","102.14280871845935","104.84437391119465","108.22781652309675","102.96925179240068","102.72520531144332","104.85806062976467","103.43143870068094","104.95550263394564"
"１.産業_(6)卸売･小売業_②小売業","104.34443407301926","101.60246968955656","100.48470668223241","100.02801324249026","100.0","99.70907261012623","99.11101915526825","100.11992659157511","98.28737852999548","97.44079442517668","96.77533142677439","95.72651156131975","95.54240733752792"
"","","","","","","","","","","","","",""
"１.産業_(7)金融･保険業","89.58336295703329","97.14642628657924","100.53812869785006","100.6323470774797","99.99999999999997","97.02818158932419","94.00864321927968","90.39100460796384","86.63071140610715","84.68899328516511","82.98233062502854","78.7792894503425","74.48800494509878"
"","","","","","","","","","","","","",""
"１.産業_(8)不動産業","105.34374421409889","103.4014683197515","102.0476999373927","100.730387652071","99.97484872806501","99.48112363344302","98.8723488329752","98.31771802082781","98.19217575416872","97.44912038758905","96.35720191887913","95.68274162511142","94.92557638387802"
"１.産業_(8)不動産業_①住宅賃貸業","104.87743656673419","102.97097847916083","101.79358119622812","100.64715919528464","100.00000000000003","99.4593343689409","98.6628829024855","97.86174213333128","97.65089403813992","97.16511042371249","96.38659504052183","95.88639296768261","95.21045369424127"
"１.産業_(8)不動産業_②その他の不動産業","112.72351273010707","110.22626424158928","106.19515302658297","102.09300780736092","99.56307093723343","99.85481581115873","102.36399821576737","105.85555904234563","106.97814668211505","102.56163212318378","97.23941372509223","94.50830755503155","92.77350894830714"
"","","","","","","","","","","","","",""
"１.産業_(9)運輸業","104.2800373999056","103.184948809702","103.31663154696795","101.68025902798988","100.03094619724551","98.24152616081602","98.90026442797513","92.65779634106794","102.8290386599679","100.28328542551283","98.35052222598809","99.74227940662675","98.67412252523387"
"","","","","","","","","","","","","",""
"１.産業_(10)情報通信業","106.5170069215421","103.24778778197926","102.02911228731726","101.21479311272581","99.08774651986161","94.47723907109003","91.82272157959788","89.5445409648642","88.54497890811639","86.29965472351265","84.67003217386299","84.27088238675397","81.97548628315447"
"１.産業_(10)情報通信業_①通信業","107.26000545014105","104.14282442576952","102.96718967033942","101.48798408449238","98.692999702892","92.60295330756966","88.84775715423822","86.5020651077767","86.12691361423855","82.93658290923037","81.0217858598479","80.64257414224079","77.76353510623744"
"１.産業_(10)情報通信業_②放送業","99.09911225901308","93.49164396371317","93.11920237479089","99.07337689691913","99.99999999999999","101.36911424675112","101.3969751212674","97.73593334846895","89.05072239071143","90.51375262922787","92.75250571566276","92.89906293152788","92.86876208335312"
"１.産業_(10)情報通信業_③情報ｻｰﾋﾞｽ、映像･文字情報制作業","105.79000576166528","102.57500587498252","100.63637003527273","100.80543291352801","100.37138912668225","100.12300763347024","101.1243354502203","99.44109123342184","98.21928600719303","98.29664732191091","96.6362346458484","96.05081742260315","95.0899820070732"
"","","","","","","","","","","","","",""
"１.産業_(11)サ－ビス業","104.3396124294665","103.1165717532134","102.49957303518083","100.72871422798804","100.3854529014696","99.3153201412719","98.93957295195264","99.26977504132995","101.4805949781448","100.91124969628315","101.02379711409509","101.89994248952341","101.25729364772864"
"１.産業_文字情報制作業_①公共ｻｰﾋﾞｽ業","90.67522448664491","97.21875676972843","96.04431832899228","95.78665481263525","100.06782337746513","94.16651799106597","85.51937510436794","80.35868464881048","79.21201618142236","79.38516502082398","78.85993560806902","78.9601234476988","76.15396898626025"
"１.産業_文字情報制作業_②対事業所ｻｰﾋﾞｽ業","90.67522448664491","97.21875676972843","96.04431832899228","95.78665481263525","100.06782337746513","94.16651799106597","85.51937510436794","80.35868464881048","79.21201618142236","79.38516502082398","78.85993560806902","78.9601234476988","76.15396898626025"
"１.産業_文字情報制作業_③対個人ｻｰﾋﾞｽ業","100.42227809885405","100.26797136088423","100.59618829814963","100.48136624625756","99.98850840453795","100.12626438924251","100.08689353073746","99.2496136445793","101.07628856236073","99.10609314746938","98.75832556467216","99.36522863370955","98.40490431453665"
"","","","","","","","","","","","","",""
"２.政府ｻ-ﾋﾞｽ生産者","103.98810007984633","102.52168574712866","100.28330734317731","100.04744428304197","100.1","99.63048428011987","99.85176057399036","99.696633133346","96.84206954784192","95.67525158156114","95.65972118332131","94.37171478478206","94.08028294753495"
"２.政府ｻ-ﾋﾞｽ生産者_(1)電気･ｶﾞｽ･水道業","101.79309421939253","99.44058132885742","98.5777301881101","99.09350276549192","100.10000000000001","100.80220297699991","102.28343710341665","104.6736673427975","101.68179752595717","100.87172695933032","101.51372933526828","100.69552133191007","101.56325482266804"
